"FullName","Length","LastWriteTime"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_181537",,"05-Aug-2025 18:16:05"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_165521",,"05-Aug-2025 16:55:48"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_164437",,"05-Aug-2025 16:45:05"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_164258",,"05-Aug-2025 16:43:48"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_164254",,"05-Aug-2025 16:43:21"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_162652",,"05-Aug-2025 16:27:20"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_160550",,"05-Aug-2025 16:06:19"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_162652\ReadMe_Correct-Format_Questions.docx","14868","05-Aug-2025 15:47:02"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_160550\ReadMe_Correct-Format_Questions.docx","14868","05-Aug-2025 15:47:02"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_153011",,"05-Aug-2025 15:30:38"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_151652",,"05-Aug-2025 15:17:29"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_153011\questions.json","187261","05-Aug-2025 15:16:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_162652\questions.json","187261","05-Aug-2025 15:16:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_160550\questions.json","187261","05-Aug-2025 15:16:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_165521\questions.json","187261","05-Aug-2025 15:16:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_164437\questions.json","187261","05-Aug-2025 15:16:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_181537\questions.json","187261","05-Aug-2025 15:16:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_151608",,"05-Aug-2025 15:16:35"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_151652\questions.json","187261","05-Aug-2025 15:16:08"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_160550\Grok_Prompt.txt","1260","05-Aug-2025 15:00:29"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_151652\Grok_Prompt.txt","1260","05-Aug-2025 15:00:29"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_153011\Grok_Prompt.txt","1260","05-Aug-2025 15:00:29"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_151608\Grok_Prompt.txt","1260","05-Aug-2025 15:00:29"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_162652\Grok_Prompt.txt","1260","05-Aug-2025 15:00:29"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_095324",,"05-Aug-2025 09:53:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_151608\questions.json","187261","05-Aug-2025 09:53:25"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_151608\drop_the_format_questions.txt","12883","05-Aug-2025 09:52:29"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_095324\drop_the_format_questions.txt","12883","05-Aug-2025 09:52:29"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_151652\drop_the_format_questions.txt","12883","05-Aug-2025 09:52:29"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_160550\drop_the_format_questions.txt","12883","05-Aug-2025 09:52:29"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_153011\drop_the_format_questions.txt","12883","05-Aug-2025 09:52:29"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_162652\drop_the_format_questions.txt","12883","05-Aug-2025 09:52:29"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_094603",,"05-Aug-2025 09:46:32"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_095324\questions.json","187261","05-Aug-2025 09:46:03"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_093314",,"05-Aug-2025 09:33:45"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_094603\questions.json","187261","05-Aug-2025 09:33:14"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_084423",,"05-Aug-2025 08:44:50"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_093314\questions.json","186948","05-Aug-2025 08:44:24"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_093314\drop_the_format_questions.txt","10698","05-Aug-2025 08:31:47"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_094603\drop_the_format_questions.txt","10698","05-Aug-2025 08:31:47"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_084423\drop_the_format_questions.txt","10698","05-Aug-2025 08:31:47"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_184205\questions.json","181158","04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_184205",,"04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_184205\drop_the_format_questions.txt","2109","04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_184205\Grok_Prompt.txt","1214","04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_184205\CourseraQuestions.docx","17353","04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_183048\questions.json","181158","04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_183048",,"04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_183048\drop_the_format_questions.txt","2109","04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_183048\Grok_Prompt.txt","1214","04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_174047\questions.json","181158","04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_183048\CourseraQuestions.docx","17353","04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_174047\drop_the_format_questions.txt","2109","04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_174047",,"04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_174047\Grok_Prompt.txt","1214","04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250804_174047\CourseraQuestions.docx","17353","04-Aug-2025 19:06:52"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_094603\ReadMe_Correct-Format_Questions.docx","14868","04-Aug-2025 18:54:20"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_153011\ReadMe_Correct-Format_Questions.docx","14868","04-Aug-2025 18:54:20"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_084423\ReadMe_Correct-Format_Questions.docx","14868","04-Aug-2025 18:54:20"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_095324\ReadMe_Correct-Format_Questions.docx","14868","04-Aug-2025 18:54:20"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_151608\ReadMe_Correct-Format_Questions.docx","14868","04-Aug-2025 18:54:20"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_093314\ReadMe_Correct-Format_Questions.docx","14868","04-Aug-2025 18:54:20"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_151652\ReadMe_Correct-Format_Questions.docx","14868","04-Aug-2025 18:54:20"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\backup\data_backup_20250805_084423\questions.json","184154","04-Aug-2025 18:42:06"
